Id	Sex
ac_yc2021_10	Male
ac_yc2021_51	Male
ac_yc2021_108	Female
ac_yc2021_123	Male
ac_yc2021_191	Female
ac_yc2021_241	Male
ac_yc2021_276	Male
ac_yc2021_377	Female
ac_yc2021_381	Male
ac_yc2021_406	Female
ac_yc2021_448	Female
ac_yc2021_506	Male
ac_yc2021_512	Male
ac_yc2021_518	Male
ac_yc2021_527	Female
ac_yc2021_538	Female
ac_yc2021_545	Female
ac_yc2021_589	Female
ac_yc2021_605	Male
ac_yc2021_618	Female
ac_yc2021_648	Male
ac_yc2021_655	Male
ac_yc2021_659	Male
ac_yc2021_665	Female
ac_yc2021_670	Female
ac_yc2021_715	Male
ac_yc2021_723	Male
ac_yc2021_724	Female
ac_yc2021_732	Female
ac_yc2021_754	Female
ac_yc2021_760	Female
ac_yc2021_776	Male
ac_yc2021_781	Female
ac_yc2021_790	Male
ac_yc2021_796	Male
ac_yc2021_808	Female
ac_yc2021_817	Female
ac_yc2021_833	Male
ac_yc2021_839	Male
ac_yc2021_864	Female
ac_yc2021_877	Female
ac_yc2021_885	Female
ac_yc2021_886	Male
ac_yc2021_895	Female
ac_yc2021_898	Female
ac_yc2021_905	Male
ac_yc2021_910	Male
ac_yc2021_936	Female
ac_yc2021_938	Female
ac_yc2021_943	Female
ac_yc2021_945	Female
ac_yc2021_956	Female
ac_yc2021_976	Female
ac_yc2021_1054	Male
ac_yc2021_1058	Female
ac_yc2021_1069	Female
ac_yc2021_1119	Female
ac_yc2021_1123	Male
ac_yc2021_1141	Female
ac_yc2021_1145	Female
ac_yc2021_1148	Female
ac_yc2021_1150	Female
ac_yc2021_1155	Female
ac_yc2021_1168	Female
ac_yc2021_1172	Female
ac_yc2021_1178	Male
ac_yc2021_1200	Male
ac_yc2021_1206	Female
ac_yc2021_1212	Female
ac_yc2021_1215	Female
ac_yc2021_1229	Female
ac_yc2021_1235	Female
ac_yc2021_1239	Female
ac_yc2021_1242	Female
ac_yc2021_1246	Male
ac_yc2021_1247	Female
ac_yc2021_1252	Female
ac_yc2021_1258	Female
ac_yc2021_1264	Male
ac_yc2021_1276	Female
ac_yc2021_1302	Male
ac_yc2021_1309	Male
ac_yc2021_1312	Female
ac_yc2021_1341	Male
ac_yc2021_1343	Female
ac_yc2021_1369	Female
ac_yc2021_1371	Female
ac_yc2021_1392	Female
ac_yc2021_1396	Female
ac_yc2021_1397	Male
ac_yc2021_1401	Female
ac_yc2021_1419	Female
ac_yc2021_1420	Female
ac_yc2021_1425	Male
ac_yc2021_1471	Female
ac_yc2021_1489	Female
ac_yc2021_1490	Female
ac_yc2021_1499	Male
ac_yc2021_1526	Male
ac_yc2021_1531	Female
ac_yc2021_1545	Female
ac_yc2021_1566	Female
ac_yc2021_1572	Female
ac_yc2021_1574	Female
ac_yc2021_1581	Female
ac_yc2021_1592	Female
ac_yc2021_1597	Female
ac_yc2021_1598	Female
ac_yc2021_1624	Male
ac_yc2021_1635	Male
ac_yc2021_1644	Female
ac_yc2021_1645	Female
ac_yc2021_1652	Female
ac_yc2021_1659	Female
ac_yc2021_1680	Male
ac_yc2021_1682	Female
ac_yc2021_1683	Female
ac_yc2021_1685	Male
ac_yc2021_1732	Male
ac_yc2021_1743	Female
ac_yc2021_1751	Female
ac_yc2021_1754	Female
ac_yc2021_1763	Female
ac_yc2021_1764	Male
ac_yc2021_1765	Female
ac_yc2021_1773	Female
ac_yc2021_1791	Female
ac_yc2021_1801	Female
ac_yc2021_1819	Female
ac_yc2021_1826	Male
ac_yc2021_1841	Male
ac_yc2021_1843	Female
ac_yc2021_1885	Male
ac_yc2021_1919	Male
ac_yc2021_1922	Male
ac_yc2021_1944	Female
ac_yc2021_1947	Female
ac_yc2021_1950	Female
ac_yc2021_1953	Male
ac_yc2021_1977	Male
ac_yc2021_1998	Male
ac_yc2021_2017	Female
ac_yc2021_2055	Female
ac_yc2021_2061	Male
ac_yc2021_2080	Female
ac_yc2021_2094	Female
ac_yc2021_2101	Female
ac_yc2021_2102	Female
ac_yc2021_2134	Female
ac_yc2021_2135	Female
ac_yc2021_2146	Female
ac_yc2021_2166	Male
ac_yc2021_2180	Male
ac_yc2021_2201	Male
ac_yc2021_2210	Male
ac_yc2021_2318	Male
ac_yc2021_2370	Female
ac_yc2021_2386	Female
ac_yc2021_2392	Male
ac_yc2021_2407	Female
ac_yc2021_2424	Male
ac_yc2021_2466	Female
ac_yc2021_2492	Female
ac_yc2021_2498	Male
ac_yc2021_2523	Female
ac_yc2021_2524	Male
ac_yc2021_2531	Male
ac_yc2021_2545	Female
ac_yc2021_2548	Female
ac_yc2021_2552	Male
ac_yc2021_2559	Female
ac_yc2021_2570	Female
ac_yc2021_2572	Female
ac_yc2021_2573	Female
ac_yc2021_2575	Female
ac_yc2021_2577	Female
ac_yc2021_2590	Female
ac_yc2021_2600	Male
ac_yc2021_2602	Female
ac_yc2021_2612	Female
ac_yc2021_2622	Male
ac_yc2021_2671	Female
ac_yc2021_2672	Female
ac_yc2021_2676	Male
ac_yc2021_2677	Female
ac_yc2021_2706	Female
ac_yc2021_2728	Male
ac_yc2021_2729	Female
ac_yc2021_31	-9
ac_yc2021_53	-9
ac_yc2021_295	-9
ac_yc2021_306	-9
