Animal	Dam	Result	#Conflict	Total_SNP	%Conflict	#Call_An	#Call_Par	#Call_Pair	#NoCall_An	#NoCall_Par	#NoCall_Pair	CR_Anim	CR_Parent	CR_Pair	Chip_An	Chip_Par	Rule_ICAR	Test
I10_ac_yc2025_953	ac_yc2021_1229	Match	68	71141	0.096	70144	71089	70094	997	52	1047	0.986	0.999	0.985	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_949	ac_yc2021_2572	Match	67	71141	0.094	70950	71043	70853	191	98	288	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_099	ac_yc2021_1150	Match	23	71141	0.032	70934	71073	70868	207	68	273	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_769	ac_yc2021_545	Match	27	71141	0.038	70916	71089	70865	225	52	276	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_401	ac_yc2021_945	Match	32	71141	0.045	70852	71020	70732	289	121	409	0.996	0.998	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_041	ac_yc2021_1148	Match	19	71141	0.027	70801	71049	70711	340	92	430	0.995	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_660	ac_yc2021_895	Match	54	71141	0.076	70578	71083	70520	563	58	621	0.992	0.999	0.991	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_400	ac_yc2021_817	Match	60	71141	0.084	70938	71057	70854	203	84	287	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_721	ac_yc2021_589	Match	59	71141	0.083	70917	70987	70765	224	154	376	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_015	ac_yc2021_1645	Match	20	71141	0.028	70839	70980	70678	302	161	463	0.996	0.998	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_464	ac_yc2021_377	Match	28	71141	0.039	70707	71072	70638	434	69	503	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_805	ac_yc2021_817	Match	41	71141	0.058	70825	71057	70742	316	84	399	0.996	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_200	ac_yc2021_936	Match	31	71141	0.044	70935	71108	70904	206	33	237	0.997	1.000	0.997	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_101	ac_yc2021_1119	Match	59	71141	0.083	70790	71010	70662	351	131	479	0.995	0.998	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_938	ac_yc2021_956	Match	67	71141	0.094	67897	71107	67865	3244	34	3276	0.954	1.000	0.954	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_107	ac_yc2021_956	Match	74	71141	0.104	70938	71107	70904	203	34	237	0.997	1.000	0.997	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_414	ac_yc2021_877	Match	58	71141	0.082	70729	71101	70690	412	40	451	0.994	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_471	ac_yc2021_545	Match	36	71141	0.051	70932	71089	70884	209	52	257	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_587	ac_yc2021_1168	Match	70	71141	0.098	70561	71093	70514	580	48	627	0.992	0.999	0.991	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_317	ac_yc2021_377	Match	58	71141	0.082	68115	71072	68048	3026	69	3093	0.957	0.999	0.957	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_374	ac_yc2021_885	Match	35	71141	0.049	69581	71084	69524	1560	57	1617	0.978	0.999	0.977	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_445	ac_yc2021_1058	Match	41	71141	0.058	70944	70995	70799	197	146	342	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_256	ac_yc2021_956	Match	52	71141	0.073	70900	71107	70866	241	34	275	0.997	1.000	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_168	ac_yc2021_943	Match	54	71141	0.076	70905	71111	70876	236	30	265	0.997	1.000	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_607	ac_yc2021_545	Match	60	71141	0.084	70608	71089	70558	533	52	583	0.993	0.999	0.992	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_395	ac_yc2021_618	Match	52	71141	0.073	70851	71074	70784	290	67	357	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_222	ac_yc2021_406	Match	91	71141	0.128	70897	71068	70824	244	73	317	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_245	ac_yc2021_1058	Match	65	71141	0.091	70774	70995	70629	367	146	512	0.995	0.998	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_216	ac_yc2021_1148	Match	61	71141	0.086	70884	71049	70792	257	92	349	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_741	ac_yc2021_527	Match	43	71141	0.060	70950	71065	70874	191	76	267	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_265	ac_yc2021_545	Match	25	71141	0.035	70951	71089	70899	190	52	242	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_391	ac_yc2021_545	Match	26	71141	0.037	70901	71089	70850	240	52	291	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_223	ac_yc2021_589	Match	72	71141	0.101	70909	70987	70756	232	154	385	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
