Animal	Sire	Result	#Conflict	Total_SNP	%Conflict	#Call_An	#Call_Par	#Call_Pair	#NoCall_An	#NoCall_Par	#NoCall_Pair	CR_Anim	CR_Parent	CR_Pair	Chip_An	Chip_Par	Rule_ICAR	Test
I11_ac_yc2025_174	ac_yc2021_723	Match	59	71141	0.083	70742	71039	70642	399	102	499	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_949	ac_yc2021_1977	Match	54	71141	0.076	70950	70952	70764	191	189	377	0.997	0.997	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_769	ac_yc2021_886	Match	32	71141	0.045	70916	71105	70880	225	36	261	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_128	ac_yc2021_123	Match	46	71141	0.065	70728	70984	70573	413	157	568	0.994	0.998	0.992	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_660	ac_yc2021_2180	Match	52	71141	0.073	70578	70502	69941	563	639	1200	0.992	0.991	0.983	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_817	ac_yc2021_51	Match	34	71141	0.048	70954	71066	70879	187	75	262	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_426	ac_yc2021_605	Match	18	71141	0.025	70874	71065	70798	267	76	343	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_512	ac_yc2021_723	Match	19	71141	0.027	70875	71039	70774	266	102	367	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_721	ac_yc2021_1246	Match	39	71141	0.055	70917	71072	70848	224	69	293	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_015	ac_yc2021_1200	Match	36	71141	0.051	70839	71089	70788	302	52	353	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_464	ac_yc2021_1178	Match	34	71141	0.048	70707	71058	70626	434	83	515	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_019	ac_yc2021_123	Match	33	71141	0.046	70780	70984	70623	361	157	518	0.995	0.998	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_108	ac_yc2021_796	Match	23	71141	0.032	70842	71046	70749	299	95	392	0.996	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_465	ac_yc2021_905	Match	35	71141	0.049	70820	71048	70729	321	93	412	0.995	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_200	ac_yc2021_10	Match	63	71141	0.089	70935	71061	70857	206	80	284	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_938	ac_yc2021_1054	Match	44	71141	0.062	67897	70989	67751	3244	152	3390	0.954	0.998	0.952	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_107	ac_yc2021_1054	Match	16	71141	0.022	70938	70989	70786	203	152	355	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_992	ac_yc2021_51	Match	52	71141	0.073	70681	71066	70606	460	75	535	0.994	0.999	0.992	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_319	ac_yc2021_605	Match	22	71141	0.031	70749	71065	70673	392	76	468	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_471	ac_yc2021_886	Match	29	71141	0.041	70932	71105	70896	209	36	245	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_317	ac_yc2021_1178	Match	33	71141	0.046	68115	71058	68035	3026	83	3106	0.957	0.999	0.956	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_374	ac_yc2021_2061	Match	21	71141	0.030	69581	70991	69436	1560	150	1705	0.978	0.998	0.976	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_445	ac_yc2021_2061	Match	54	71141	0.076	70944	70991	70797	197	150	344	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_256	ac_yc2021_1054	Match	35	71141	0.049	70900	70989	70748	241	152	393	0.997	0.998	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_168	ac_yc2021_715	Match	17	71141	0.024	70905	71045	70809	236	96	332	0.997	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_607	ac_yc2021_886	Match	34	71141	0.048	70608	71105	70572	533	36	569	0.993	0.999	0.992	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_395	ac_yc2021_241	Match	28	71141	0.039	70851	70823	70533	290	318	608	0.996	0.996	0.991	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_838	ac_yc2021_723	Match	25	71141	0.035	70714	71039	70613	427	102	528	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_222	ac_yc2021_10	Match	34	71141	0.048	70897	71061	70820	244	80	321	0.997	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_245	ac_yc2021_2061	Match	45	71141	0.063	70774	70991	70627	367	150	514	0.995	0.998	0.993	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_681	ac_yc2021_790	Match	62	71141	0.087	70877	71089	70825	264	52	316	0.996	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_741	ac_yc2021_910	Match	20	71141	0.028	70950	71090	70899	191	51	242	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_265	ac_yc2021_886	Match	19	71141	0.027	70951	71105	70915	190	36	226	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_011	ac_yc2021_790	Match	50	71141	0.070	70937	71089	70885	204	52	256	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_153	ac_yc2021_1178	Match	30	71141	0.042	70940	71058	70857	201	83	284	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_763	ac_yc2021_833	Match	43	71141	0.060	70820	71051	70731	321	90	410	0.995	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_058	ac_yc2021_839	Match	40	71141	0.056	70935	71093	70887	206	48	254	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_382	ac_yc2021_605	Match	43	71141	0.060	70870	71065	70794	271	76	347	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_391	ac_yc2021_886	Match	13	71141	0.018	70901	71105	70866	240	36	275	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_223	ac_yc2021_1246	Match	29	71141	0.041	70909	71072	70840	232	69	301	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_818	ac_yc2021_1246	Match	32	71141	0.045	70949	71072	70880	192	69	261	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_859	ac_yc2021_123	Match	48	71141	0.067	70942	70984	70785	199	157	356	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_822	ac_yc2021_381	Match	32	71141	0.045	70915	71078	70853	226	63	288	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_474	ac_yc2021_659	Match	48	71141	0.067	70866	71086	70812	275	55	329	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_336	ac_yc2021_518	Match	32	71141	0.045	70945	71049	70854	196	92	287	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_213	ac_yc2021_659	Match	53	71141	0.074	70709	71086	70656	432	55	485	0.994	0.999	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_368	ac_yc2021_10	Match	33	71141	0.046	70802	71061	70724	339	80	417	0.995	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_565	ac_yc2021_910	Match	55	71141	0.077	70879	71090	70829	262	51	312	0.996	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_219	ac_yc2021_839	Match	26	71141	0.037	67198	71093	67153	3943	48	3988	0.945	0.999	0.944	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_345	ac_yc2021_886	Match	27	71141	0.038	70958	71105	70922	183	36	219	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_551	ac_yc2021_506	Match	17	71141	0.024	70919	71086	70864	222	55	277	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_385	ac_yc2021_723	Match	15	71141	0.021	70891	71039	70790	250	102	351	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_770	ac_yc2021_839	Match	16	71141	0.022	70891	71093	70846	250	48	295	0.996	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_142	ac_yc2021_833	Match	48	71141	0.067	70880	71051	70792	261	90	349	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_095	ac_yc2021_1200	Match	41	71141	0.058	70869	71089	70817	272	52	324	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_863	ac_yc2021_276	Match	42	71141	0.059	70944	70971	70776	197	170	365	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_535	ac_yc2021_905	Match	18	71141	0.025	70916	71048	70824	225	93	317	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_546	ac_yc2021_512	Match	45	71141	0.063	70966	71032	70857	175	109	284	0.998	0.998	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_734	ac_yc2021_1977	Match	35	71141	0.049	70882	70952	70695	259	189	446	0.996	0.997	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_527	ac_yc2021_1178	Match	34	71141	0.048	70847	71058	70766	294	83	375	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_768	ac_yc2021_833	Match	60	71141	0.084	70863	71051	70773	278	90	368	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_710	ac_yc2021_655	Match	32	71141	0.045	70895	71014	70769	246	127	372	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_308	ac_yc2021_1123	Match	44	71141	0.062	69327	71077	69266	1814	64	1875	0.975	0.999	0.974	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_122	ac_yc2021_518	Match	40	71141	0.056	70922	71049	70831	219	92	310	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_946	ac_yc2021_2061	Match	23	71141	0.032	70926	70991	70776	215	150	365	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_521	ac_yc2021_886	Match	25	71141	0.035	70759	71105	70723	382	36	418	0.995	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_032	ac_yc2021_723	Match	68	71141	0.096	70932	71039	70831	209	102	310	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_780	ac_yc2021_886	Match	22	71141	0.031	70932	71105	70896	209	36	245	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_320	ac_yc2021_605	Match	26	71141	0.037	70934	71065	70859	207	76	282	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_377	ac_yc2021_10	Match	40	71141	0.056	70934	71061	70856	207	80	285	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_642	ac_yc2021_790	Match	50	71141	0.070	70491	71089	70439	650	52	702	0.991	0.999	0.990	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_738	ac_yc2021_790	Match	58	71141	0.082	70646	71089	70594	495	52	547	0.993	0.999	0.992	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_418	ac_yc2021_1054	Match	36	71141	0.051	70946	70989	70794	195	152	347	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_051	ac_yc2021_659	Match	20	71141	0.028	70849	71086	70795	292	55	346	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_717	ac_yc2021_241	Match	45	71141	0.063	70909	70823	70593	232	318	548	0.997	0.996	0.992	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_515	ac_yc2021_910	Match	36	71141	0.051	70932	71090	70881	209	51	260	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_027	ac_yc2021_1123	Match	42	71141	0.059	70931	71077	70867	210	64	274	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_550	ac_yc2021_790	Match	26	71141	0.037	70883	71089	70831	258	52	310	0.996	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_440	ac_yc2021_790	Match	38	71141	0.053	70916	71089	70865	225	52	276	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_523	ac_yc2021_605	Match	33	71141	0.046	70869	71065	70793	272	76	348	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_042	ac_yc2021_715	Match	36	71141	0.051	70870	71045	70775	271	96	366	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_461	ac_yc2021_241	Match	36	71141	0.051	70627	70823	70322	514	318	819	0.993	0.996	0.988	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_115	ac_yc2021_1123	Match	47	71141	0.066	70854	71077	70790	287	64	351	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_942	ac_yc2021_51	Match	45	71141	0.063	70967	71066	70892	174	75	249	0.998	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_298	ac_yc2021_1178	Match	29	71141	0.041	70824	71058	70741	317	83	400	0.996	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_457	ac_yc2021_790	Match	53	71141	0.074	70909	71089	70857	232	52	284	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_926	ac_yc2021_51	Match	56	71141	0.079	70901	71066	70827	240	75	314	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_204	ac_yc2021_723	Match	55	71141	0.077	70923	71039	70822	218	102	319	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_899	ac_yc2021_910	Match	26	71141	0.037	70948	71090	70897	193	51	244	0.997	0.999	0.997	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_590	ac_yc2021_605	Match	30	71141	0.042	70933	71065	70857	208	76	284	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_903	ac_yc2021_1977	Match	37	71141	0.052	70908	70952	70721	233	189	420	0.997	0.997	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_562	ac_yc2021_839	Match	14	71141	0.020	70937	71093	70892	204	48	249	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_344	ac_yc2021_1200	Match	32	71141	0.045	70913	71089	70862	228	52	279	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_523	ac_yc2021_518	Match	39	71141	0.055	70923	71049	70832	218	92	309	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_739	ac_yc2021_605	Match	37	71141	0.052	70942	71065	70866	199	76	275	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_635	ac_yc2021_833	Match	53	71141	0.074	70891	71051	70801	250	90	340	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_593	ac_yc2021_51	Match	38	71141	0.053	70845	71066	70771	296	75	370	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_823	ac_yc2021_241	Match	38	71141	0.053	70684	70823	70370	457	318	771	0.994	0.996	0.989	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_030	ac_yc2021_723	Match	40	71141	0.056	70845	71039	70744	296	102	397	0.996	0.999	0.994	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_159	ac_yc2021_381	Match	58	71141	0.082	70665	71078	70603	476	63	538	0.993	0.999	0.992	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_202	ac_yc2021_886	Match	19	71141	0.027	70893	71105	70857	248	36	284	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_202	ac_yc2021_2676	Match	55	71141	0.077	70893	70997	70754	248	144	387	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_071	ac_yc2021_905	Match	27	71141	0.038	70927	71048	70836	214	93	305	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_767	ac_yc2021_241	Match	42	71141	0.059	70922	70823	70604	219	318	537	0.997	0.996	0.992	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_878	ac_yc2021_790	Match	41	71141	0.058	70838	71089	70787	303	52	354	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_092	ac_yc2021_723	Match	46	71141	0.065	70940	71039	70839	201	102	302	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_950	ac_yc2021_833	Match	46	71141	0.065	70618	71051	70528	523	90	613	0.993	0.999	0.991	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_733	ac_yc2021_512	Match	42	71141	0.059	70914	71032	70805	227	109	336	0.997	0.998	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_813	ac_yc2021_1977	Match	21	71141	0.030	70796	70952	70609	345	189	532	0.995	0.997	0.993	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_776	ac_yc2021_905	Match	22	71141	0.031	70945	71048	70853	196	93	288	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_395	ac_yc2021_10	Match	52	71141	0.073	70949	71061	70871	192	80	270	0.997	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_499	ac_yc2021_241	Match	52	71141	0.073	70916	70823	70604	225	318	537	0.997	0.996	0.992	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_555	ac_yc2021_839	Match	41	71141	0.058	70876	71093	70831	265	48	310	0.996	0.999	0.996	Chip_1	Chip_1	-	Valid_Test
I10_ac_yc2025_944	ac_yc2021_790	Match	52	71141	0.073	70848	71089	70796	293	52	345	0.996	0.999	0.995	Chip_1	Chip_1	-	Valid_Test
I11_ac_yc2025_662	ac_yc2021_276	Match	47	71141	0.066	70907	70971	70739	234	170	402	0.997	0.998	0.994	Chip_1	Chip_1	-	Valid_Test
